Time,Lat,Lon,Alt,Lm_T89,MLT_T89
2019-01-25 10:14:19.968000,0.364921,-119.406,780.421,1.1357467556056249,2.269385947862503
2019-01-25 10:14:24.979200,0.0650279,-119.40899999999999,780.4630000000001,1.1345280323556455,2.272958700183679
2019-01-25 10:14:29.990400,-0.234859,-119.411,780.507,1.1335238806942844,2.2765953489442374
2019-01-25 10:14:35.001600,-0.5343289999999999,-119.413,780.452,1.1324329133791502,2.2805027880231066
2019-01-25 10:14:40.012800,-0.834219,-119.415,780.498,1.1315431132886455,2.2841344170392617
2019-01-25 10:14:45.024000,-1.1341,-119.417,780.544,1.1306069990028624,2.287763653293254
2019-01-25 10:14:50.035200,-1.43398,-119.42,780.591,1.129828481876106,2.2913242584040887
2019-01-25 10:14:54.960000,-1.73386,-119.42200000000001,780.64,1.1290323020295407,2.2946726158401347
2019-01-25 10:14:59.971200,-2.03373,-119.42399999999999,780.689,1.1283661111473442,2.2982956377215658
2019-01-25 10:15:04.982400,-2.3336,-119.426,780.7389999999999,1.1277091616125452,2.3019168642345917
2019-01-25 10:15:09.993600,-2.63346,-119.428,780.791,1.1271522504161084,2.3055363467776218
2019-01-25 10:15:15.004800,-2.9333099999999996,-119.43,780.8430000000001,1.126635166708001,2.3094308519599522
2019-01-25 10:15:20.016000,-3.23316,-119.432,780.8960000000001,1.126183893984011,2.3130473087703542
2019-01-25 10:15:25.027200,-3.533,-119.434,780.95,1.125808852827232,2.31666241083618
2019-01-25 10:15:30.038400,-3.83284,-119.436,781.0060000000001,1.1254522494754506,2.320276366105812
2019-01-25 10:15:34.963200,-4.13267,-119.43799999999999,781.062,1.1252300324832372,2.3236126145962572
2019-01-25 10:15:39.974400,-4.4324900000000005,-119.44,781.1189999999999,1.124976405471724,2.3272245114072803
2019-01-25 10:15:44.985600,-4.73231,-119.44200000000001,781.177,1.1248990862250963,2.3308356470607023
2019-01-25 10:15:49.996800,-5.032109999999999,-119.444,781.2360000000001,1.1247810573443715,2.334445992294171
2019-01-25 10:15:55.008000,-5.33191,-119.446,781.296,1.1248206261201454,2.338332415870795
2019-01-25 10:16:00.019200,-5.63171,-119.448,781.357,1.125019393837736,2.3419418722649894
2019-01-25 10:16:05.030400,-5.93149,-119.45,781.419,1.1250996203476709,2.345550921898237
2019-01-25 10:16:10.041600,-6.231269999999999,-119.45200000000001,781.482,1.1252418864553753,2.3491598497544928
2019-01-25 10:16:14.966400,-6.53104,-119.454,781.546,1.1254461384144203,2.3524921479617333
2019-01-25 10:16:19.977600,-6.8307899999999995,-119.456,781.6110000000001,1.1255718503606502,2.3561009857335478
2019-01-25 10:16:24.988800,-7.130539999999999,-119.458,781.677,1.1258275165508258,2.3597100844841457
2019-01-25 10:16:30,-7.430289999999999,-119.46,781.7439999999999,1.126217820746061,2.363596108792983
2019-01-25 10:16:35.011200,-7.73002,-119.462,781.812,1.1265958242133496,2.3672059484348225
2019-01-25 10:16:40.022400,-8.029739999999999,-119.464,781.88,1.1271166899360254,2.3708163533165205
2019-01-25 10:16:45.033600,-8.32945,-119.465,781.95,1.1276117947285669,2.374492985845677
2019-01-25 10:16:49.958400,-8.62915,-119.46700000000001,782.0210000000001,1.1282615473623863,2.3778283548326797
2019-01-25 10:16:54.969600,-8.92885,-119.469,782.092,1.12886980696483,2.3814412687776354
2019-01-25 10:16:59.980800,-9.228530000000001,-119.47,782.165,1.1296485393111948,2.38512059680329
2019-01-25 10:17:04.992000,-9.5282,-119.47200000000001,782.238,1.1303693546119393,2.3887356754585163
2019-01-25 10:17:10.003200,-9.827860000000001,-119.47399999999999,782.312,1.1312759109507435,2.39262857274403
2019-01-25 10:17:15.014400,-10.1275,-119.475,782.387,1.1321089808495348,2.396311659696842
2019-01-25 10:17:20.025600,-10.4271,-119.477,782.4630000000001,1.1331441206929411,2.3999307665679055
2019-01-25 10:17:25.036800,-10.7268,-119.478,782.54,1.1340888916018208,2.4036176811210836
2019-01-25 10:17:29.961600,-11.0264,-119.48,782.618,1.135253185150443,2.4069640231047487
2019-01-25 10:17:34.972800,-11.325999999999999,-119.48100000000001,782.697,1.1363090595282395,2.4106540261423213
2019-01-25 10:17:39.984000,-11.6256,-119.48299999999999,782.7760000000001,1.1376027942666023,2.4142810463146276
2019-01-25 10:17:44.995200,-11.9251,-119.484,782.857,1.1387698339223118,2.4179746510489295
2019-01-25 10:17:50.006400,-12.2247,-119.485,782.938,1.140193939300635,2.421947854928522
2019-01-25 10:17:55.017600,-12.5243,-119.486,783.02,1.141473085004368,2.425647127990718
2019-01-25 10:18:00.028800,-12.8238,-119.488,783.1039999999999,1.143027528117142,2.4292833119347215
2019-01-25 10:18:05.040000,-13.1233,-119.48899999999999,783.187,1.1444183705397701,2.432987240194045
2019-01-25 10:18:09.964800,-13.4228,-119.49,783.2719999999999,1.146104355113548,2.4364176686420436
2019-01-25 10:18:14.976000,-13.7223,-119.491,783.3580000000001,1.1476082672803853,2.440127548025309
2019-01-25 10:18:19.987200,-14.0218,-119.492,783.444,1.149426449841378,2.443840601810688
2019-01-25 10:18:24.998400,-14.3213,-119.493,783.5319999999999,1.1510440259043295,2.447556965934229
2019-01-25 10:18:30.009600,-14.6207,-119.494,783.62,1.1529949796153365,2.451552352520931
2019-01-25 10:18:35.020800,-14.9202,-119.495,783.709,1.154795484074265,2.455275739465513
2019-01-25 10:18:40.032000,-15.2196,-119.49600000000001,783.798,1.1568121254005712,2.4590020429956994
2019-01-25 10:18:44.956800,-15.519,-119.49600000000001,783.8889999999999,1.1588147590600448,2.4625204077042113
2019-01-25 10:18:49.968000,-15.8184,-119.49700000000001,783.98,1.1608796291530457,2.4662545319935063
2019-01-25 10:18:54.979200,-16.1178,-119.49799999999999,784.073,1.163048935943136,2.4699927944571627
2019-01-25 10:18:59.990400,-16.4171,-119.49799999999999,784.166,1.1651998527379452,2.4737989617168843
2019-01-25 10:19:05.001600,-16.7165,-119.499,784.2589999999999,1.1675259483945113,2.4778222142091764
2019-01-25 10:19:10.012800,-17.0158,-119.499,784.3539999999999,1.1697757973866851,2.4816372305767196
2019-01-25 10:19:15.024000,-17.3151,-119.5,784.449,1.172254560497385,2.4853925585973187
2019-01-25 10:19:20.035200,-17.6144,-119.5,784.545,1.1746098354527363,2.489217004788358
2019-01-25 10:19:24.960000,-17.9137,-119.5,784.6419999999999,1.1772399564551983,2.492770056727153
2019-01-25 10:19:29.971200,-18.213,-119.5,784.7389999999999,1.1797054592908622,2.496604480741791
2019-01-25 10:19:34.982400,-18.5122,-119.501,784.8380000000001,1.18248651015381,2.5003791513173397
2019-01-25 10:19:39.993600,-18.8115,-119.501,784.937,1.185066216609059,2.5042241807084125
2019-01-25 10:19:45.004800,-19.1107,-119.501,785.0360000000001,1.187997980689797,2.5083501717739303
2019-01-25 10:19:50.016000,-19.4099,-119.5,785.137,1.1906939391763396,2.512269540792502
2019-01-25 10:19:55.027200,-19.709,-119.5,785.238,1.1937768587190967,2.5161298357192123
2019-01-25 10:20:00.038400,-20.0082,-119.5,785.34,1.1965941812938625,2.519996921087319
2019-01-25 10:20:04.963200,-20.3073,-119.5,785.442,1.1998302069202835,2.523593036697136
2019-01-25 10:20:09.974400,-20.6065,-119.499,785.545,1.2029212307825987,2.5275363544288147
2019-01-25 10:20:14.985600,-20.9056,-119.499,785.6489999999999,1.206161343868675,2.5314213896873596
2019-01-25 10:20:19.996800,-21.2046,-119.49799999999999,785.7539999999999,1.2094789186550543,2.535375919833342
2019-01-25 10:20:25.008000,-21.5037,-119.49799999999999,785.8589999999999,1.21277364183594,2.5395504768121313
2019-01-25 10:20:30.019200,-21.8027,-119.49700000000001,785.965,1.2162831875912985,2.5435185248042025
2019-01-25 10:20:35.030400,-22.1018,-119.49600000000001,786.072,1.2196732376351789,2.5474944044833734
2019-01-25 10:20:40.041600,-22.4008,-119.495,786.179,1.223363958292959,2.551476588950713
2019-01-25 10:20:44.966400,-22.6998,-119.494,786.2860000000001,1.2268648497046855,2.555189888798985
